NO,SMILES,y_true,temp,elem,mol,SMILES_Kmeans,Bemis_Murcko
299,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3cccc(Oc5ccc(C(c6ccc(Oc7cccc(*)c7)cc6)(C(F)(F)F)C(F)(F)F)cc5)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,246.0,-1.1034195,-1.0264372,-1.1903327,-0.95864636,-1.0177373
625,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(-c6nc(-c7ccccc7)[nH]c6-c6ccc(Oc7ccc(*)cc7C(F)(F)F)cc6)cc5)c(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,277.2030037,-0.47631648,-0.53694284,-0.40743026,-0.15746947,-0.36258212
542,*c1ccc2[nH]c(-c3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)nc2c1,371.6837363,0.9367493,1.0224773,1.0838051,0.8606042,1.0408449
456,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc5c(c3)C3(c6ccccc6-c6ccc(*)cc63)c3ccccc3-5)C4=O)cc2C1=O,362.0,0.9346703,0.88535494,0.7420951,0.9124289,0.85930073
724,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(C35CC6C7CC8(*)CC6C(C3)C(C8)C7C5)C4=O)cc2C1=O,335.0,0.41029847,0.28724915,0.22899859,0.39054927,0.35988438
452,*N1C(=O)c2ccc(S(=O)(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc6c(c5)C(C)(C)CC5(Cc7ccc(Oc8ccc(*)cc8)cc7C(C)(C)C5)C6)cc3)C4=O)cc2C1=O,256.0,-0.86424446,-0.8497625,-0.80287325,-0.7042677,-0.71782917
273,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(Cc5ccc(*)cc5)c3)C4=O)cc2C1=O,274.0,-0.60000396,-0.5414246,-0.48369375,-0.4187076,-0.5316812
727,*N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(c3ccc(O[C@H]5CC[C@@](C)(COc6ccc(*)cc6C(F)(F)F)C5(C)C)c(C(F)(F)F)c3)C4=O)cc2C1=O,229.0,-1.4741814,-1.3786458,-1.2777722,-1.2923685,0.13400365
524,*N1C(=O)c2ccc(-c3cccc4c3C(=O)N(c3cccc(Oc5cc(Oc6cccc(*)c6)cc(P(=O)(c6ccccc6)c6ccccc6)c5)c3)C4=O)cc2C1=O,208.0,-1.7404464,-1.3826665,-1.590112,-1.6778276,-1.4995495
569,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(C5(c6ccc(*)cc6)c6cc(-c7cc(C(F)(F)F)cc(C(F)(F)F)c7)ccc6-c6ccc(-c7cc(C(F)(F)F)cc(C(F)(F)F)c7)cc65)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,361.2,0.92251873,0.9281706,0.823638,0.86117786,0.8977476
691,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(C#Cc5ccc(*)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,420.0,1.8600929,-0.1496064,1.6125054,2.0163002,0.41076496
527,*N1C(=O)c2ccc(OC3COC4C(Oc5ccc6c(c5)C(=O)N(c5ccc(*)cc5)C6=O)COC34)cc2C1=O,300.0,-0.1908523,-0.37295127,-0.21744668,-0.12825954,-0.5397795
595,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5c(C(F)(F)F)cc(*)cc5C(F)(F)F)cc3)C4=O)cc2C1=O,348.0,0.61945146,-0.10433118,0.12591887,0.6653378,0.61231893
685,*c1c(C)cc(C2(c3cc(C)c(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)c(C)c3)c3cc(O[Si](C)(C)C(C)(C)C)ccc3-c3ccc(O[Si](C)(C)C(C)(C)C)cc32)cc1C,322.4,0.17598571,0.201859,0.06854681,0.1772285,0.22942778
606,*c1ccc(Oc2ccc(N3C(=O)c4cccc(-c5ccc6c(c5)C(=O)N(*)C6=O)c4C3=O)cc2)cc1,300.6064879,0.000919708,-0.07198171,-0.049224578,-0.001548168,-0.037468728
747,*c1ccc(-c2ccc(-c3ccc(-c4ccc(N5Cc6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5)cc4)cc3)cc2)cc1,442.0,2.1897779,1.7829809,1.7823639,1.3091145,1.9275976
250,*c1ccc(Cc2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)cc1,292.0,-0.27329427,-0.3112253,-0.39416546,-0.23629607,-0.2990102
376,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3cc(*)cc(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,297.0,-0.12985753,-0.2797489,-0.16397664,-0.076961055,-0.11202903
681,*c1ccc(-c2cc(C(C)(C)C)c(Oc3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c(C(C)(C)C)c2)c(Cl)c1,370.0,0.9546423,0.90388715,0.98575085,1.0445557,1.1160737
579,*N1C(=O)c2ccc(Oc3ccc(Oc4ccc(Oc5ccc6c(c5)C(=O)N(c5ccc(-c7ccc(*)cc7C(F)(F)F)c(C(F)(F)F)c5)C6=O)cc4)cc3)cc2C1=O,235.0,-1.3486559,-1.2831179,-1.2670629,-1.2347782,-1.2206587
570,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5cc(-c6ccccc6)cc(-c6ccc(*)cc6)n5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,369.0833491,1.057988,0.9428072,0.8511035,1.0028968,0.8466055
791,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(C(=O)Nc5ccc(-c6ccc(NC(=O)c7ccc(*)cc7C(F)(F)F)cc6C(F)(F)F)c(C(F)(F)F)c5)c(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,316.0,0.14209472,0.12106691,0.15523142,0.10360886,0.11423889
599,*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2)cc1,272.0,-0.5107317,-0.22159736,-0.27553734,-0.40906858,-0.32211497
