NO,SMILES,y_true,temp,elem,mol,SMILES_Kmeans,Bemis_Murcko
60,*C12CC3CC(C1)CC(N1C(=O)c4ccc(C(=O)c5ccc6c(c5)C(O)N(*)C6O)cc4C1=O)(C3)C2,255,-0.70508814,-0.58621407,-1.0004771,-0.69385165,-0.59760565
61,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(C35CC6CC(CC(*)(C6)C3)C5)C4=O)cc2C1=O,303,-0.026255038,0.17997879,-0.002234027,0.06615764,-0.023794372
62,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(C35CC6CC(CC(*)(C6)C3)C5)C4=O)cc2C1=O,245,-0.037617102,0.050511327,-0.11022047,0.05976834,-0.113201365
63,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(C35CC6CC(CC(*)(C6)C3)C5)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,287,-0.24924093,0.33823237,-0.30234173,-0.24549341,-0.2115006
64,*C12CC3CC4C1CC1CC2C(C3)C4(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)C1,416,1.9366575,2.1367648,1.9571581,1.8654457,1.8772877
65,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(C35CC6CC7C3CC3CC5C(C6)C7(*)C3)C4=O)cc2C1=O,429,2.1080973,2.3386955,2.1833909,1.9855882,2.0621302
67,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(C35CC6CC7C3CC3CC5C(C6)C7(*)C3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,375,1.2764037,1.6242547,1.2576383,1.205338,1.3756642
74,*c1ccc(Oc2ccc(C34CC5CC6C3CC3CC4C(C5)C6(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(*)C9=O)cc7C6=O)cc5)cc4)C3)cc2)cc1,360,0.88674295,0.9264722,0.82095075,0.8816387,0.6796793
75,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C67CC8CC9C6CC6CC7C(C8)C9(c7ccc(Oc8ccc(*)cc8)cc7)C6)cc5)cc3)C4=O)cc2C1=O,340,0.47790098,0.6379794,0.47950622,0.45435604,0.06381638
76,*N1C(O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C67CC8CC9C6CC6CC7C(C8)C9(c7ccc(Oc8ccc(*)cc8)cc7)C6)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1O,375,1.1774534,1.0392817,0.987893,1.1184151,0.76965517
77,*N1C(=O)c2ccc(Oc3ccc(Oc4ccc(Oc5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(C89CC%10CC%11C8CC8CC9C(C%10)C%11(c9ccc(Oc%10ccc(*)cc%10)cc9)C8)cc7)cc5)C6=O)cc4)cc3)cc2C1=O,283,-0.2644695,-0.17876703,-0.17288686,-0.41160002,-0.5516367
78,*N1C(=O)c2ccc(Oc3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C78CC9CC%10C7CC7CC8C(C9)C%10(c8ccc(Oc9ccc(*)cc9)cc8)C7)cc6)cc4)C5=O)cc3)cc2C1=O,302,0.09873506,0.20856968,0.19806948,0.035100527,-0.2693435
79,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C67CC8CC9C6CC6CC7C(C8)C9(c7ccc(Oc8ccc(*)cc8)cc7)C6)cc5)cc3)C4=O)cc2C1=O,386,0.7036149,0.90819603,0.6395706,0.63736117,0.31060404
82,*N1C(=O)c2cccc3c(-c4ccc5c6c(cccc46)C(=O)N(c4cccc(*)c4)C5=O)ccc(c23)C1=O,450,1.8987707,2.3832343,2.324242,2.4847171,2.4966726
83,*N1C(=O)c2cccc3c(-c4ccc5c6c(cccc46)C(=O)N(c4ccc(Oc6ccc(*)cc6)cc4)C5=O)ccc(c23)C1=O,470,2.626751,2.3985703,2.5337434,2.7277331,2.761171
84,*N1C(=O)c2cccc3c(-c4ccc5c6c(cccc46)C(=O)N(c4ccc(Cc6ccc(*)cc6)cc4)C5=O)ccc(c23)C1=O,430,2.1997132,2.1081226,1.8516384,1.7727594,2.2956033
85,*N1C(=O)c2cccc3c(-c4ccc5c6c(cccc46)C(=O)N(c4ccc(C6(c7ccc(*)cc7)c7ccccc7-c7ccccc76)cc4)C5=O)ccc(c23)C1=O,450,2.3202047,2.3274703,2.1800148,2.385003,2.3411174
86,*N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N1C(=O)c2ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc2C1=O)C3=O,340,0.53416413,0.52145356,0.4537262,0.5842881,0.5100138
88,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c3)C4=O)cc2C1=O,338,0.5330011,0.701026,0.4126579,0.42800802,0.8597501
89,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc3)C4=O)cc2C1=O,342,0.40024883,0.56897813,0.2805267,0.22614005,0.33231843
90,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)c3)C4=O)cc2C1=O,308,0.12655976,0.10238175,-0.033505045,0.076943316,0.18271469
150,*N1C(=O)C2CCC(C3CCC4C(=O)N(c5ccc(Oc6ccc(C(c7ccc(Oc8ccc(*)cc8)cc7)(C(F)(F)F)C(F)(F)F)cc6)cc5)C(=O)C4C3)CC2C1=O,236.1,-1.0794694,-1.0855792,-1.1228399,-1.2402622,-1.2485547
153,*N1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)c2C1=O,319,0.19847491,0.26033244,0.024274282,0.1458363,0.53316236
154,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)cc2C1=O,285,-0.20318723,0.01722904,-0.3707773,-0.045598857,0.053390305
155,*c1cccc(Oc2cccc(N3C(=O)c4cccc(-c5cccc6c5C(=O)N(*)C6=O)c4C3=O)c2)c1,246,-0.9967833,-0.6614707,-1.0997726,-0.7216628,-0.9974491
156,*N1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3cccc(Oc5cccc(*)c5)c3)C4=O)c2C1=O,245,-0.89721656,-0.70650524,-1.1455518,-0.76852524,-0.8587972
157,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3cccc(Oc5cccc(*)c5)c3)C4=O)cc2C1=O,243,-0.9723096,-0.8397475,-1.2335074,-0.8983783,-1.0114872
158,*N1C(=O)c2cccc(-c3cccc4c3C(=O)N(c3cccc(Oc5cccc(Oc6cccc(*)c6)c5)c3)C4=O)c2C1=O,206,-1.4851027,-1.3151685,-1.5770515,-1.3118993,-1.574724
159,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3cccc(Oc5cccc(Oc6cccc(*)c6)c5)c3)C4=O)cc2C1=O,200,-1.450717,-1.4333222,-1.8029091,-1.4738916,-1.5853326
160,*N1C(=O)c2cccc(-c3cccc4c3C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc3)C4=O)c2C1=O,293,-0.2531523,-0.18500593,-0.35057935,-0.16706309,-0.10552694
161,*N1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc3)C4=O)c2C1=O,283,-0.3771495,-0.43418035,-0.5596679,-0.41087922,-0.29304862
164,*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,292,-0.115588844,0.011573769,-0.08189588,-0.08139854,-0.21707286
165,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5cccc(C(=O)c6cccc7c6C(=O)N(*)C7=O)c5C4=O)cc3)cc2)cc1,278,-0.18192378,-0.21171364,-0.18946725,0.05870022,-0.14338185
166,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(C(=O)c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,268,-0.21244809,-0.4993759,-0.3279018,-0.14217865,-0.08119807
167,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,255,-0.6344292,-0.456026,-0.6459346,-0.66138065,-0.8124586
177,*N1C(=O)c2cccc(Sc3cccc4c3C(=O)N(c3ccc(Cc5ccc(*)cc5)cc3)C4=O)c2C1=O,255,0.058155097,0.4599161,0.16647089,0.395,0.32207668
178,*N1C(=O)c2ccc(Sc3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(*)cc5)cc3)C4=O)cc2C1=O,277,-0.4764309,-0.13773587,-0.4899131,-0.25126642,-0.2763238
190,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc3)C4=O)cc2C1=O,257,-0.83680254,-0.70025474,-1.023992,-0.851106,-0.74565506
191,*N1C(=O)c2cccc(-c3ccc4c(c3)C(=O)N(c3cccc(Oc5cccc(Oc6cccc(*)c6)c5)c3)C4=O)c2C1=O,205,-1.4920298,-1.3959504,-1.6897025,-1.4548695,-1.5870198
194,*N1C(=O)c2cccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)c2C1=O,278,-0.29399446,-0.07525884,-0.5027132,-0.20328277,-0.08782324
